start,end,duration_s
2026-04-23 09:48:59,2026-04-23 11:13:13,5054.0
2026-04-23 11:13:13,2026-04-23 11:13:24,11.0
2026-04-23 11:13:24,2026-04-23 11:13:28,4.0
2026-04-23 11:13:28,2026-04-23 11:16:43,195.0
2026-04-23 11:16:43,2026-04-23 11:16:46,3.0
2026-04-23 11:16:46,2026-04-23 11:16:57,11.0
2026-04-23 11:16:57,2026-04-23 11:17:09,12.0
2026-04-23 11:17:09,2026-04-23 11:17:20,11.0
2026-04-23 11:17:20,2026-04-23 11:17:31,11.0
2026-04-23 11:17:31,2026-04-23 11:17:35,4.0
2026-04-23 11:17:35,2026-04-23 11:17:46,11.0
2026-04-23 11:17:46,2026-04-23 11:18:00,14.0
2026-04-23 11:18:00,2026-04-23 11:18:12,12.0
2026-04-23 11:18:12,2026-04-23 11:18:23,11.0
2026-04-23 11:18:23,2026-04-23 11:18:35,12.0
2026-04-23 11:18:35,2026-04-23 11:18:46,11.0
2026-04-23 11:18:46,2026-04-23 11:19:00,14.0
2026-04-23 11:19:00,2026-04-23 11:19:12,12.0
2026-04-23 11:19:12,2026-04-23 11:19:15,3.0
2026-04-23 11:19:15,2026-04-23 11:19:26,11.0
2026-04-23 11:19:26,2026-04-23 11:19:37,11.0
2026-04-23 11:19:37,2026-04-23 11:19:49,12.0
2026-04-23 11:19:49,2026-04-23 11:20:00,11.0
2026-04-23 11:20:00,2026-04-23 11:20:12,12.0
2026-04-23 11:20:12,2026-04-23 11:20:15,3.0
2026-04-23 11:20:15,2026-04-23 11:20:29,14.0
2026-04-23 11:20:29,2026-04-23 11:20:41,12.0
2026-04-23 11:20:41,2026-04-23 11:20:52,11.0
2026-04-23 11:20:52,2026-04-23 11:21:03,11.0
2026-04-23 11:21:03,2026-04-23 11:21:15,12.0
2026-04-23 11:21:15,2026-04-23 11:21:26,11.0
2026-04-23 11:21:26,2026-04-23 11:21:43,17.0
2026-04-23 11:21:43,2026-04-23 11:21:55,12.0
2026-04-23 11:21:55,2026-04-23 11:22:06,11.0
2026-04-23 11:22:06,2026-04-23 11:22:18,12.0
2026-04-23 11:22:18,2026-04-23 11:22:29,11.0
2026-04-23 11:22:29,2026-04-23 11:22:40,11.0
2026-04-23 11:22:40,2026-04-23 11:22:52,12.0
2026-04-23 11:22:52,2026-04-23 11:23:06,14.0
2026-04-23 11:23:06,2026-04-23 11:23:18,12.0
2026-04-23 11:23:18,2026-04-23 11:23:29,11.0
2026-04-23 11:23:29,2026-04-23 11:23:41,12.0
2026-04-23 11:23:41,2026-04-23 11:23:52,11.0
2026-04-23 11:23:52,2026-04-23 11:24:03,11.0
2026-04-23 11:24:03,2026-04-23 11:24:15,12.0
2026-04-23 11:24:15,2026-04-23 11:24:32,17.0
2026-04-23 11:24:32,2026-04-23 11:24:43,11.0
2026-04-23 11:24:43,2026-04-23 11:24:55,12.0
2026-04-23 11:24:55,2026-04-23 11:25:06,11.0
2026-04-23 11:25:06,2026-04-23 11:25:18,12.0
2026-04-23 11:25:18,2026-04-23 11:25:29,11.0
2026-04-23 11:25:29,2026-04-23 11:25:41,12.0
2026-04-23 11:25:43,2026-04-23 11:25:47,4.0
2026-04-23 11:25:47,2026-04-23 11:25:58,11.0
2026-04-23 11:25:58,2026-04-23 11:26:09,11.0
2026-04-23 11:26:09,2026-04-23 11:26:21,12.0
2026-04-23 11:26:21,2026-04-23 11:26:32,11.0
2026-04-23 11:26:32,2026-04-23 11:26:44,12.0
2026-04-23 11:26:44,2026-04-23 11:26:58,14.0
2026-04-23 11:26:58,2026-04-23 11:27:18,20.0
2026-04-23 11:27:18,2026-04-23 11:27:32,14.0
2026-04-23 11:27:32,2026-04-23 11:27:50,18.0
2026-04-23 11:27:50,2026-04-23 11:28:02,12.0
2026-04-23 11:28:02,2026-04-23 11:28:05,3.0
2026-04-23 11:28:05,2026-04-23 11:28:16,11.0
2026-04-23 11:28:16,2026-04-23 11:28:28,12.0
2026-04-23 11:28:28,2026-04-23 11:28:39,11.0
2026-04-23 11:28:39,2026-04-23 11:28:53,14.0
2026-04-23 11:28:53,2026-04-23 11:29:05,12.0
2026-04-23 11:29:05,2026-04-23 11:29:16,11.0
2026-04-23 11:29:16,2026-04-23 11:29:30,14.0
2026-04-23 11:29:30,2026-04-23 11:29:45,15.0
2026-04-23 11:29:45,2026-04-23 11:30:02,17.0
2026-04-23 11:30:02,2026-04-23 11:30:13,11.0
2026-04-23 11:30:13,2026-04-23 11:30:28,15.0
2026-04-23 11:30:28,2026-04-23 11:30:39,11.0
2026-04-23 11:30:39,2026-04-23 11:30:42,3.0
2026-04-23 11:30:42,2026-04-23 11:30:54,12.0
2026-04-23 11:30:54,2026-04-23 11:31:05,11.0
2026-04-23 11:31:05,2026-04-23 11:31:08,3.0
2026-04-23 11:31:08,2026-04-23 11:31:20,12.0
2026-04-23 11:31:20,2026-04-23 11:31:31,11.0
2026-04-23 11:31:31,2026-04-23 11:31:42,11.0
2026-04-23 11:31:42,2026-04-23 11:31:54,12.0
2026-04-23 11:31:54,2026-04-23 11:31:57,3.0
2026-04-23 11:31:57,2026-04-23 11:32:08,11.0
2026-04-23 11:32:08,2026-04-23 11:32:23,15.0
2026-04-23 11:32:23,2026-04-23 11:32:34,11.0
2026-04-23 11:32:34,2026-04-23 11:32:45,11.0
2026-04-23 11:32:45,2026-04-23 11:32:57,12.0
2026-04-23 11:32:57,2026-04-23 11:33:08,11.0
2026-04-23 11:33:08,2026-04-23 11:33:23,15.0
2026-04-23 11:33:23,2026-04-23 11:33:34,11.0
2026-04-23 11:33:34,2026-04-23 11:33:48,14.0
2026-04-23 11:33:48,2026-04-23 11:34:00,12.0
2026-04-23 11:34:00,2026-04-23 11:34:11,11.0
2026-04-23 11:34:11,2026-04-23 11:34:23,12.0
2026-04-23 11:34:23,2026-04-23 11:34:34,11.0
2026-04-23 11:34:34,2026-04-23 11:34:48,14.0
2026-04-23 11:34:48,2026-04-23 11:35:00,12.0
2026-04-23 11:35:00,2026-04-23 11:35:03,3.0
2026-04-23 11:35:03,2026-04-23 11:35:17,14.0
2026-04-23 11:35:17,2026-04-23 11:35:28,11.0
2026-04-23 11:35:28,2026-04-23 11:35:40,12.0
2026-04-23 11:35:40,2026-04-23 11:35:59,19.0
2026-04-23 11:35:59,2026-04-23 11:36:10,11.0
2026-04-23 11:36:10,2026-04-23 11:36:13,3.0
2026-04-23 11:36:13,2026-04-23 11:36:24,11.0
2026-04-23 11:36:24,2026-04-23 11:36:36,12.0
2026-04-23 11:36:36,2026-04-23 11:36:47,11.0
2026-04-23 11:36:47,2026-04-23 11:36:54,7.0
2026-04-23 11:36:54,2026-04-23 11:37:06,12.0
2026-04-23 11:37:06,2026-04-23 11:38:23,77.0
2026-04-23 11:38:23,2026-04-23 11:38:43,20.0
2026-04-23 11:38:43,2026-04-23 11:38:57,14.0
2026-04-23 11:38:57,2026-04-23 11:39:00,3.0
2026-04-23 11:39:00,2026-04-23 11:39:14,14.0
2026-04-23 11:39:14,2026-04-23 11:39:21,7.0
2026-04-23 11:39:21,2026-04-23 11:40:19,58.0
2026-04-23 11:40:19,2026-04-23 11:40:31,12.0
2026-04-23 11:40:31,2026-04-23 11:40:42,11.0
2026-04-23 11:40:42,2026-04-23 11:40:54,12.0
2026-04-23 11:40:54,2026-04-23 11:41:06,12.0
2026-04-23 11:41:06,2026-04-23 11:41:17,11.0
2026-04-23 11:41:17,2026-04-23 11:41:28,11.0
2026-04-23 11:41:28,2026-04-23 11:41:34,6.0
2026-04-23 11:41:34,2026-04-23 11:41:46,12.0
2026-04-23 11:41:46,2026-04-23 11:41:54,8.0
2026-04-23 11:41:54,2026-04-23 11:42:06,12.0
2026-04-23 11:42:06,2026-04-23 11:42:17,11.0
2026-04-23 11:42:17,2026-04-23 11:42:28,11.0
2026-04-23 11:42:28,2026-04-23 11:42:43,15.0
2026-04-23 11:42:43,2026-04-23 11:42:57,14.0
2026-04-23 11:42:57,2026-04-23 11:43:09,12.0
2026-04-23 11:43:09,2026-04-23 11:43:20,11.0
2026-04-23 11:43:20,2026-04-23 11:43:32,12.0
2026-04-23 11:43:32,2026-04-23 11:43:43,11.0
2026-04-23 11:43:43,2026-04-23 11:43:54,11.0
2026-04-23 11:43:54,2026-04-23 11:44:06,12.0
2026-04-23 11:44:06,2026-04-23 11:44:23,17.0
2026-04-23 11:44:23,2026-04-23 11:44:34,11.0
2026-04-23 11:44:34,2026-04-23 11:44:46,12.0
2026-04-23 11:44:46,2026-04-23 11:44:57,11.0
2026-04-23 11:44:57,2026-04-23 11:45:09,12.0
2026-04-23 11:45:09,2026-04-23 11:45:20,11.0
2026-04-23 11:45:20,2026-04-23 11:45:31,11.0
2026-04-23 11:45:31,2026-04-23 11:45:34,3.0
2026-04-23 11:45:34,2026-04-23 11:45:38,4.0
2026-04-23 11:45:38,2026-04-23 11:45:49,11.0
2026-04-23 11:45:49,2026-04-23 11:46:00,11.0
2026-04-23 11:46:00,2026-04-23 11:46:18,18.0
2026-04-23 11:46:18,2026-04-23 11:46:29,11.0
2026-04-23 11:46:29,2026-04-23 11:48:17,108.0
2026-04-23 11:48:17,2026-04-23 11:48:31,14.0
2026-04-23 11:48:31,2026-04-23 11:48:42,11.0
2026-04-23 11:48:42,2026-04-23 11:48:54,12.0
2026-04-23 11:48:54,2026-04-23 11:49:05,11.0
2026-04-23 11:49:05,2026-04-23 11:49:17,12.0
2026-04-23 11:49:17,2026-04-23 11:49:28,11.0
2026-04-23 11:49:28,2026-04-23 11:49:31,3.0
2026-04-23 11:49:31,2026-04-23 11:49:42,11.0
2026-04-23 11:49:42,2026-04-23 11:49:46,4.0
2026-04-23 11:49:46,2026-04-23 11:50:00,14.0
2026-04-23 11:50:00,2026-04-23 11:50:11,11.0
2026-04-23 11:50:11,2026-04-23 11:50:23,12.0
2026-04-23 11:50:23,2026-04-23 11:50:34,11.0
2026-04-23 11:50:34,2026-04-23 11:50:46,12.0
2026-04-23 11:50:46,2026-04-23 11:50:58,12.0
2026-04-23 11:51:00,2026-04-23 11:51:23,23.0
2026-04-23 11:51:23,2026-04-23 11:54:04,161.0
2026-04-23 11:54:04,2026-04-23 11:54:18,14.0
2026-04-23 11:54:18,2026-04-23 11:59:57,339.0
2026-04-23 11:59:57,2026-04-23 12:00:08,11.0
2026-04-23 12:00:08,2026-04-23 12:01:09,61.0
2026-04-23 12:01:09,2026-04-23 12:01:21,12.0
2026-04-23 12:01:21,2026-04-23 12:01:32,11.0
2026-04-23 12:01:32,2026-04-23 12:01:44,12.0
2026-04-23 12:01:44,2026-04-23 12:01:55,11.0
2026-04-23 12:01:55,2026-04-23 12:05:13,198.0
2026-04-23 12:05:13,2026-04-23 12:05:28,15.0
2026-04-23 12:05:28,2026-04-23 12:05:48,20.0
2026-04-23 12:05:48,2026-04-23 12:06:17,29.0
2026-04-23 12:06:17,2026-04-23 12:06:34,17.0
2026-04-23 12:06:34,2026-04-23 12:06:40,6.0
2026-04-23 12:06:40,2026-04-23 12:06:51,11.0
2026-04-23 12:06:51,2026-04-23 12:07:03,12.0
2026-04-23 12:07:03,2026-04-23 12:07:14,11.0
2026-04-23 12:07:14,2026-04-23 12:07:17,3.0
2026-04-23 12:07:17,2026-04-23 12:07:29,12.0
2026-04-23 12:07:29,2026-04-23 12:07:40,11.0
2026-04-23 12:07:40,2026-04-23 12:07:54,14.0
2026-04-23 12:07:54,2026-04-23 12:08:06,12.0
2026-04-23 12:08:06,2026-04-23 12:08:17,11.0
2026-04-23 12:08:17,2026-04-23 12:08:29,12.0
2026-04-23 12:08:29,2026-04-23 12:08:43,14.0
2026-04-23 12:08:43,2026-04-23 12:08:54,11.0
2026-04-23 12:08:54,2026-04-23 12:09:06,12.0
2026-04-23 12:09:06,2026-04-23 12:09:09,3.0
2026-04-23 12:09:09,2026-04-23 12:09:20,11.0
2026-04-23 12:09:20,2026-04-23 12:09:31,11.0
2026-04-23 12:09:31,2026-04-23 12:09:43,12.0
2026-04-23 12:09:43,2026-04-23 12:09:54,11.0
2026-04-23 12:09:54,2026-04-23 12:09:57,3.0
2026-04-23 12:09:57,2026-04-23 12:10:09,12.0
2026-04-23 12:10:09,2026-04-23 12:10:23,14.0
2026-04-23 12:10:23,2026-04-23 12:10:35,12.0
2026-04-23 12:10:35,2026-04-23 12:10:46,11.0
2026-04-23 12:10:46,2026-04-23 12:10:57,11.0
2026-04-23 12:10:57,2026-04-23 12:11:09,12.0
2026-04-23 12:11:09,2026-04-23 12:11:23,14.0
2026-04-23 12:11:23,2026-04-23 12:11:35,12.0
2026-04-23 12:11:37,2026-04-23 12:11:49,12.0
2026-04-23 12:11:49,2026-04-23 12:12:00,11.0
2026-04-23 12:12:00,2026-04-23 12:12:12,12.0
2026-04-23 12:12:12,2026-04-23 12:12:23,11.0
2026-04-23 12:12:23,2026-04-23 12:12:35,12.0
2026-04-23 12:12:35,2026-04-23 12:12:38,3.0
2026-04-23 12:12:38,2026-04-23 12:12:52,14.0
2026-04-23 12:12:52,2026-04-23 12:13:03,11.0
2026-04-23 12:13:03,2026-04-23 12:13:15,12.0
2026-04-23 12:13:15,2026-04-23 12:13:26,11.0
2026-04-23 12:13:26,2026-04-23 12:13:38,12.0
2026-04-23 12:13:38,2026-04-23 12:13:49,11.0
2026-04-23 12:13:49,2026-04-23 12:14:03,14.0
2026-04-23 12:14:03,2026-04-23 12:14:06,3.0
2026-04-23 12:14:06,2026-04-23 12:14:18,12.0
2026-04-23 12:14:18,2026-04-23 12:14:29,11.0
2026-04-23 12:14:29,2026-04-23 12:14:41,12.0
2026-04-23 12:14:41,2026-04-23 12:14:52,11.0
2026-04-23 12:14:52,2026-04-23 12:15:03,11.0
2026-04-23 12:15:03,2026-04-23 12:15:15,12.0
2026-04-23 12:15:15,2026-04-23 12:15:21,6.0
2026-04-23 12:15:21,2026-04-23 12:15:32,11.0
2026-04-23 12:15:32,2026-04-23 12:15:44,12.0
2026-04-23 12:15:44,2026-04-23 12:15:55,11.0
2026-04-23 12:15:55,2026-04-23 12:16:07,12.0
2026-04-23 12:16:07,2026-04-23 12:16:18,11.0
2026-04-23 12:16:18,2026-04-23 12:16:29,11.0
2026-04-23 12:16:29,2026-04-23 12:16:44,15.0
2026-04-23 12:16:44,2026-04-23 12:16:56,12.0
2026-04-23 12:16:56,2026-04-23 12:17:07,11.0
2026-04-23 12:17:07,2026-04-23 12:17:18,11.0
2026-04-23 12:17:18,2026-04-23 12:17:30,12.0
2026-04-23 12:17:30,2026-04-23 12:17:41,11.0
2026-04-23 12:17:41,2026-04-23 12:17:53,12.0
2026-04-23 12:17:53,2026-04-23 12:18:10,17.0
2026-04-23 12:18:10,2026-04-23 12:18:21,11.0
2026-04-23 12:18:21,2026-04-23 12:18:33,12.0
2026-04-23 12:18:33,2026-04-23 12:18:44,11.0
2026-04-23 12:18:44,2026-04-23 12:18:55,11.0
2026-04-23 12:18:55,2026-04-23 12:19:07,12.0
2026-04-23 12:19:07,2026-04-23 12:19:18,11.0
2026-04-23 12:19:18,2026-04-23 12:19:21,3.0
2026-04-23 12:19:21,2026-04-23 12:19:25,4.0
2026-04-23 12:19:27,2026-04-23 12:19:42,15.0
2026-04-23 12:19:42,2026-04-23 12:19:53,11.0
2026-04-23 12:19:53,2026-04-23 12:19:56,3.0
2026-04-23 12:19:56,2026-04-23 12:20:08,12.0
2026-04-23 12:20:08,2026-04-23 12:20:11,3.0
2026-04-23 12:20:11,2026-04-23 12:20:16,5.0
2026-04-23 12:20:16,2026-04-23 12:20:19,3.0
2026-04-23 12:20:19,2026-04-23 12:20:22,3.0
2026-04-23 12:20:22,2026-04-23 12:20:25,3.0
2026-04-23 12:20:25,2026-04-23 12:20:28,3.0
2026-04-23 12:20:28,2026-04-23 12:20:31,3.0
2026-04-23 12:20:31,2026-04-23 12:22:54,143.0
2026-04-23 12:22:54,2026-04-23 12:23:06,12.0
2026-04-23 12:23:06,2026-04-23 12:23:09,3.0
2026-04-23 12:23:09,2026-04-23 12:23:20,11.0
2026-04-23 12:23:20,2026-04-23 12:23:32,12.0
2026-04-23 12:23:32,2026-04-23 12:23:43,11.0
2026-04-23 12:23:43,2026-04-23 12:23:55,12.0
2026-04-23 12:23:55,2026-04-23 12:24:09,14.0
2026-04-23 12:24:09,2026-04-23 12:24:12,3.0
2026-04-23 12:24:12,2026-04-23 12:24:18,6.0
2026-04-23 12:24:18,2026-04-23 12:24:32,14.0
2026-04-23 12:24:32,2026-04-23 12:51:22,1610.0
2026-04-23 12:51:22,2026-04-23 12:51:36,14.0
2026-04-23 12:51:36,2026-04-23 12:51:51,15.0
2026-04-23 12:51:51,2026-04-23 12:52:08,17.0
2026-04-23 12:52:08,2026-04-23 12:52:23,15.0
2026-04-23 12:52:23,2026-04-23 12:52:37,14.0
2026-04-23 12:52:37,2026-04-23 12:52:51,14.0
2026-04-23 12:52:51,2026-04-23 12:53:06,15.0
2026-04-23 12:53:06,2026-04-23 12:53:20,14.0
2026-04-23 12:53:20,2026-04-23 12:53:37,17.0
2026-04-23 12:53:37,2026-04-23 12:53:52,15.0
2026-04-23 12:53:52,2026-04-23 12:54:06,14.0
2026-04-23 12:54:06,2026-04-23 12:54:21,15.0
2026-04-23 12:54:21,2026-04-23 12:54:35,14.0
2026-04-23 12:54:35,2026-04-23 12:54:52,17.0
2026-04-23 12:54:52,2026-04-23 12:55:07,15.0
2026-04-23 12:55:07,2026-04-23 12:55:21,14.0
2026-04-23 12:55:21,2026-04-23 12:55:35,14.0
2026-04-23 12:55:35,2026-04-23 12:55:38,3.0
2026-04-23 12:55:38,2026-04-23 12:55:53,15.0
2026-04-23 12:55:53,2026-04-23 12:55:56,3.0
